uscounty,Ohio,4915,16426,2,13492,13316,196888
uscounty,Columbia,6857,9503,0,6819,5029,196888
uscounty,Sedgwick,1340,5693,1,4882,4807,49432
uscounty,Musselshell,2341,5168,0,4627,4655,196888
uscounty,Dauphin,1285,2796,0,2091,2252,49432
uscounty,Moody,2345,15409,1,12012,12063,196888
uscounty,Putnam,1223,2412,0,1806,2058,49432
uscounty,Sussex,1147,2415,1,1980,1984,49432
uscounty,Decatur,1201,3147,0,2492,2487,49432
uscounty,Perry,2410,28996,0,23334,24000,196888
uscounty,Union,1090,3126,0,2552,2623,49432
uscounty,Boyd,1307,2562,0,1819,1959,49432
uscounty,Mille Lacs,1706,3278,0,2172,2682,49432
uscounty,Walsh,2066,4681,3,3872,3863,196888
uscounty,Morgan,834,1815,1,1463,1477,49432
uscounty,Portage,740,1489,0,1213,1242,49432
uscounty,Uinta,14034,59302,0,42089,48081,786712
uscounty,Humboldt,829,1822,1,1617,1538,49432
uscounty,Jim Hogg,1250,2313,0,1536,1747,49432
uscounty,Cheyenne,4946,13629,1,11326,11472,196888
uscounty,Clackamas,1236,2403,0,1549,2179,49432
uscounty,Polk,2614,12613,1,10450,10674,196888
uscounty,Macon,1849,18029,0,14471,15062,196888
uscounty,Benton,883,1850,0,1434,1450,49432
uscounty,Morgan,2166,10051,0,8235,8170,196888
uscounty,Douglas,847,1824,0,1427,1518,49432
uscounty,Worcester,1368,2679,0,2248,2182,49432
uscounty,Wabash,1853,3445,1,2786,2804,49432
uscounty,Huntington,1118,2185,0,1681,1874,49432
uscounty,Scott,485,1032,0,763,833,49432
uscounty,Decatur,6282,22452,2,17474,18488,786712
uscounty,Wabash,973,1923,0,1542,1594,49432
uscounty,Allen,1865,3447,0,2484,2790,49432
uscounty,Marshall,1531,5651,0,4365,4455,196888
uscounty,Thomas,3763,10630,1,8317,8844,196888
uscounty,Sioux,5077,21678,2,16781,17152,196888
uscounty,Dimmit,1109,2440,0,1933,1996,49432
uscounty,Fillmore,8571,55952,1,43916,44598,786712
uscounty,Chester,560,1121,0,864,965,49432
uscounty,Lac qui Parle,1653,3111,0,2450,2505,49432
uscounty,Cache,1569,7596,2,6080,6003,196888
uscounty,Pierce,2098,3764,2,2714,2867,49432
uscounty,Charlton,3478,15885,4,12657,13032,196888
uscounty,Polk,1297,2907,0,2001,2068,49432
uscounty,McLean,1623,3482,0,2670,2710,49432
uscounty,Androscoggin,2256,4819,0,3774,4071,196888
uscounty,Kootenai,1500,4188,0,3061,3413,49432
uscounty,Clark,1162,7031,0,5366,5918,49432
uscounty,Phillips,317,662,0,564,562,12568
uscounty,Holt,1246,2690,0,1923,2309,49432
uscounty,Johnson,1124,3593,0,2788,2924,49432
uscounty,La Crosse,872,1759,1,1361,1304,49432
uscounty,Caldwell,1177,2607,1,1891,2013,49432
uscounty,Edmonson,1766,4618,0,3743,3726,196888
uscounty,Bond,566,1327,0,1077,1090,49432
uscounty,Brown,676,1308,0,880,1115,49432
uscounty,McLeod,3641,14310,0,12138,12127,196888
uscounty,Dunn,1691,6261,0,5374,5307,196888
uscounty,Custer,6623,43850,0,34209,34389,786712
uscounty,Madison,1344,5846,0,4779,4785,49432
uscounty,Nolan,5099,19593,0,14663,15503,196888
uscounty,Wayne,1987,6845,0,5343,5673,196888
uscounty,Saratoga,1492,3571,4,2870,2967,49432
uscounty,Brazos,715,2253,0,1852,1905,49432
uscounty,Marshall,4281,13727,0,10549,11718,196888
uscounty,Allegany,978,2273,1,1755,1878,49432
uscounty,Wetzel,1105,2266,0,1691,1718,49432
uscounty,Jackson,578,1194,0,957,931,49432
uscounty,Clatsop,1717,3975,0,3238,3139,49432
uscounty,Lewis,875,1899,2,1420,1618,49432
uscounty,Allegany,6014,31888,2,24285,25596,196888
uscounty,Cedar,1217,2540,1,2125,1881,49432
uscounty,Orange,2933,10634,2,8092,8507,196888
uscounty,DeKalb,3786,9941,1,8507,8421,196888
uscounty,Pickens,901,2344,0,1706,1650,49432
uscounty,Chouteau,1217,2671,1,1969,2055,49432
uscounty,Brown,895,1659,0,1220,1234,49432
uscounty,Campbell,3321,14760,3,11599,12271,196888
uscounty,Franklin,750,1711,1,1286,1271,49432
uscounty,Baltimore,854,1630,0,1254,1194,49432
uscounty,Lyon,1627,5908,0,4633,4794,49432
uscounty,Carroll,2687,9301,0,7379,7646,196888
uscounty,Tensas,6900,22396,0,18755,18882,786712
uscounty,Monroe,1581,3175,0,2381,2458,49432
uscounty,Hamilton,1788,5079,1,4667,4643,196888
uscounty,Pocahontas,1474,2934,2,2273,2465,49432
uscounty,Gem,4812,16575,1,13612,13732,196888
uscounty,Independence,3908,12653,1,10599,10751,196888
uscounty,Lonoke,5460,21896,0,17233,18065,196888
uscounty,Newton,1937,6931,0,5496,5847,196888
uscounty,Franklin,1041,2062,0,1867,1856,49432
uscounty,Hendry,1198,2379,1,1734,2025,49432
uscounty,Taliaferro,5470,25019,0,19460,19804,196888
uscounty,Jefferson,5034,21633,0,16145,17404,196888
uscounty,Meagher,2498,7453,0,6105,6091,196888
uscounty,La Plata,1446,4166,0,3353,3337,49432
uscounty,Bell,1166,2974,0,2432,2449,49432
uscounty,Kemper,770,1779,0,1441,1525,49432
uscounty,Clark,5211,26177,0,19743,21526,196888
uscounty,Klamath,1306,3058,0,2124,2286,49432
uscounty,Oswego,616,1883,2,1493,1516,49432
uscounty,Naranjito,1805,5837,0,4940,4903,196888
